latitude,longitude,name,street address,tel
1.464260,110.333800,KLINIK KESIHATAN KOTA SENTOSA,"Kota Sentosa, Jalan Stakan, 93250 Kuching, Kuching, Sarawak",082-626080/ 082-6260
1.479973,104.181573,KLINIK KESIHATAN SENING,"Felda Sg Mas, 81900 Tanjung Surat, Kota Tinggi, Johor",07-8277398
1.488750,103.771230,KLINIK KESIHATAN TEBRAU,"JKR 5409,5410,5413, Jalan Kerambit, 80050 Johor Bahru, Johor Bahru, Johor",07-3342067
1.489205,103.885109,KLINIK KESIHATAN MASAI,"Lot 2188, Jalan Pekeliling, 81750 Masai, Johor Bahru, Johor",07-2511882
1.492666,110.170873,KLINIK KESIHATAN SINGAI,"Jalan Kawah, Kampung Singai (D/A  Peg. Kesihatan Bahagian Kuching, Jalan Tun Ahmad Zaidi Adruce), 93250 Bau, Bau, Sarawak",018-2110499
1.492824,103.705879,KLINIK KESIHATAN TAMPOI,"JKR 3769-1, Batu 5, Jalan Skudai, 81200 Johor Bahru, Johor Bahru, Johor",07-2361030
1.496965,103.748751,KLINIK KESIHATAN LARKIN,"PTD 4999, Jalan Sentosa, 80350 Johor Bahru, Johor Bahru, Johor",07-2233249
1.501110,103.383333,KLINIK KESIHATAN PONTIAN ,"Lot 8695, Jalan Alsagoff, 82000 Pontian, Pontian, Johor",07-6868211
1.508123,103.707381,KLINIK KESIHATAN KEMPAS,"JKR 6044, Jalan Persiaran Tanjung, 81200 Johor Bahru, Johor Bahru, Johor",07-2382060
1.508300,103.512150,KLINIK KESIHATAN PEKAN NANAS,"Jalan Pekan Nanas, 81500 Pengkalan Raja, Pontian, Johor",07-6994352
1.511020,110.270610,KLINIK KESIHATAN BATU KAWA,"Jalan Eng Sing, Off Jalan Stapok, 93250 Batu Kawa, Kuching, Sarawak",082-688518
1.514350,103.757500,KLINIK KESIHATAN MAJIDEE,"JKR 5909/D Jln Sekolah Kg Melayu Majidee, 81100 Johor Bahru, Johor Bahru, Johor",07-3323535
1.515457,110.740089,KLINIK KESIHATAN SADONG JAYA,"Kampung Sadong Jaya, 94600 Asajaya, Asajaya, Sarawak",082-821248
1.520665,110.934435,KLINIK KESIHATAN SEBUYAU,"Pekan Sebuyau (D/A Pegawai Kesihatan Bahagian Samarahan, Jalan Datuk Muhamad Musa), 94300 Kota Samarahan, Simunjan, Sarawak",083-467126
1.525611,103.666933,KLINIK KESIHATAN TAMAN UNGKU TUN AMINAH,"Lot 9, 11, 15, 17 Jln Sri Orkid 36. Taman Sri Orkid, 81300 Johor Bahru, Johor Bahru, Johor",07-5113727
1.530564,103.931425,KLINIK KESIHATAN CAHAYA BARU,"JKR 2116 Jalan Perak, Felda Cahaya Baru, 81750 Masai, Johor Bahru, Johor",07-2612346
1.536026,110.336573,KLINIK KESIHATAN TG. EMBANG,"Kampung Tanjung Embang (D/A Peg. Kesihatan Bahagian Kuching, Jln Tun Ahmad Zaidi Adruce), 93150 Kuching, Kuching, Sarawak",082-257867
1.537953,103.626726,KLINIK KESIHATAN TAMAN UNIVERSITI,"Jalan Kebudayaan 28, Taman Universiti, 81300 Johor Bahru, Johor Bahru, Johor",07-5216800
1.540110,111.347640,KLINIK KESIHATAN TUIE,"Kampung Tuie, Pusa, Saribas, 95500 Debak, Betong, Sarawak",083-569508
1.544150,110.607330,KLINIK KESIHATAN ASAJAYA,"Kampung Asajaya, 94600 Asajaya, Asajaya, Sarawak",082-827080
1.547898,103.790287,KLINIK KESIHATAN SULTAN ISMAIL,"Jalan Persiaran Mutiara Emas Utama, Taman Mount Austin, 81100 Johor Bahru, Johor Bahru, Johor",07-3577121
1.551387,110.380385,KLINIK KESIHATAN TANAH PUTEH,"Tanah Puteh, Jalan Pending, Kuching (Pegawai Perubatan Y/M, KK Tanah Puteh, Jln Pending, Kuching), 93450 Kuching, Kuching, Sarawak",082-344011/ 082-4825
1.551713,110.691588,KLINIK KESIHATAN JEMUKAN,"Kampung Jemukan, 94600 Asajaya, Asajaya, Sarawak",082-827604
1.551736,110.672908,KLINIK KESIHATAN SEMERA,"Kampunga Samera, 94600 Asajaya, Asajaya, Sarawak",082-826372
1.555327,104.240174,KLINIK KESIHATAN BANDAR PENAWAR,"Lot 758, Jalan Ar-Raudah, 81900 Tanjung Surat, Kota Tinggi, Johor",07-8221064
1.557219,110.342823,KLINIK KESIHATAN JALAN MASJID ,"Jalan Masjid, 93400 Kuching, Kuching, Sarawak",082-427110/ 082-4150
1.557734,110.774190,KLINIK KESIHATAN SEBANGAN,"Pekan Sebangan, 94300 Kota Samarahan, Simunjan, Sarawak",083-468337
1.558990,103.401540,KLINIK KESIHATAN KAYU ARA PASONG,"Jln Kayu Ara Pasong, 82010 Api-Api, Pontian, Johor",07-6951355
1.564400,111.423770,KLINIK KESIHATAN DEBAK,"Debak, Saribas, 95500 Debak, Betong, Sarawak",083-464570
1.572737,110.543587,KLINIK KESIHATAN SAMBIR,"Kampung Sambir, 94300 Kota Samarahan, Samarahan, Sarawak",082-436384
1.581368,111.464852,KLINIK KESIHATAN ULU TERU,"Ulu Teru (D/A Peg. Kesihatan Daerah Baram, Jalan Hospital), 98050 Baram, Marudi, Sarawak",013-2865607
1.592090,103.331290,KLINIK KESIHATAN AYER BALOI,"Jalan Ayer Baloi, 82100 Pontian, Pontian, Johor",07-6931213
1.596701,103.820655,KLINIK KESIHATAN ULU TIRAM,"JKR 2156, Jln Besar Ulu Tiram, 81800 Johor Bahru, Johor Bahru, Johor",07-8611902
1.606242,104.088237,KLINIK KESIHATAN AIR TAWAR 5 (FELDA),"Felda Air Tawar 5, 81900 Tanjung Surat, Kota Tinggi, Johor",07-8952872
1.608150,111.697550,KLINIK KESIHATAN NANGA TIGA,"Kampung Ng Tiga, 95700 Betong, Betong, Sarawak",084-775504
1.610960,111.289860,KLINIK KESIHATAN PUSA,"Pekan Pusa, 94950 Pusa, Betong, Sarawak",083-465155
1.611851,104.153978,KLINIK KESIHATAN BANDAR MAS,"Lot 4106, Jalan Tun Habab, 81900 Tanjung Surat, Kota Tinggi, Johor",07-8236155
1.618960,109.681340,KLINIK KESIHATAN BIAWAK,"Kampung Biawak (D/A Pegawai Kesihatan Daerah Lundu, Jalan Lundu/ Sekambal), 94500 Lundu, Lundu, Sarawak",082-322977
1.638370,111.204250,KLINIK KESIHATAN BELADIN,"Beladin, Saribas, 94950 Pusa, Betong, Sarawak",083-406448
1.640890,103.621652,KLINIK KESIHATAN KULAI,"Lot 5264, Jalan Pejabat Kesihatan, 81000 Senai, Kulai Jaya, Johor",07-6625255
1.645700,103.258440,KLINIK KESIHATAN BENUT,"Jalan Jaafar, 82200 Benut, Pontian, Johor",07-6903633
1.655536,103.607151,KLINIK KESIHATAN KULAI BESAR,"Lot 6221, Batu 19 Jalan Air Hitam, 81000 Senai, Kulai Jaya, Johor",07-6622403
1.659020,110.437890,KLINIK KESIHATAN BAKO,"Jalan Bako, Kampung Bako (D/A Peg. Kesihatan Bahagian Kuching, Jalan Tun Ahmad Zaidi Adruce), 93150 Bako, Kuching, Sarawak",082-475967/ 082-4313
1.659799,111.034730,KLINIK KESIHATAN MELUDAM,"Meludam, 94850 Saribas, Betong, Sarawak",083-408212
1.663210,112.035030,KLINIK KESIHATAN NANGA ENSIRING,"Kampung Ensiring (Pen. Peg. Perubatan Y/M, KK Julau, Julau), 96600 Julau, Julau, Sarawak",084-775505
1.674260,110.208590,KLINIK KESIHATAN TELAGA AIR,"Jalan Matang, Kampung Telaga Air (D/A Peg. Kesihatan Bahagian Kuching, Jln Tun Ahmad Zaidi Adruce, Kuching), 93150 Kuching, Kuching, Sarawak",082-843200
1.678369,104.021627,KLINIK KESIHATAN AIR TAWAR 2,"Lot 1046, Jalan Pasar, Sg Rengit, 81900 Kota Tinggi, Kota Tinggi, Johor",07-8932207
1.681967,111.102466,KLINIK KESIHATAN SEMARANG,"Pekan Semarang, 94950 Pusa, Betong, Sarawak",083-468007
1.686720,110.013990,KLINIK KESIHATAN SAMPADI,"Kampung Sampadi (D/A Peg. Kesihatan Daerah Lundu, Jln Lundu/Sekambal), 94500 Lundu, Lundu, Sarawak",082-378300
1.689770,111.762320,KLINIK KESIHATAN NANGA ENTAIH,"Kampung Entaih, 96510 Pakan, Pakan, Sarawak",084-775501
1.692052,110.099584,KLINIK KESIHATAN STOH RAMBUNGAN,"Kampung Rambungan (D/A  Peg. Kesihatan Bahagian Lundu, Jalan Lundu/ Sekambal), 94500 Lundu, Lundu, Sarawak",082-657407
1.700560,103.288050,KLINIK KESIHATAN PARIT ISMAIL,"Jln Parit Ismail, 82200 Benut, Pontian, Johor",07-6903671
1.701720,110.370320,KLINIK KESIHATAN BUNTAL,"Jalan Tengah, 93050 Kuching, Kuching, Sarawak",082-846493
1.706113,112.380855,KLINIK KESIHATAN CHEMENONG,"Kampung Chemenong, 96850 Song, Song, Sarawak",084-4774100
1.710363,112.552909,KLINIK KESIHATAN NANGA ENGKUAH,"Kampung Engkuah, 96850 Song, Song, Sarawak",084-777333
1.718688,110.315037,KLINIK KESIHATAN SANTUBONG,"Jalan Sultan Tengah, 93050 Kuching, Kuching, Sarawak",082-846439
1.733468,103.188941,KLINIK KESIHATAN SRI MERLONG,"Lot 5086, Kampung Sri Merlong, 83100 Sungai Kluang, Batu Pahat, Johor",07-4258511
1.739970,112.033090,KLINIK KESIHATAN MAONG (MUJOK),"Kampung Maong, 96600 Julau, Julau, Sarawak",084-734253
1.741120,103.897850,KLINIK KESIHATAN LOK HENG,"Lot 2548, Felda Air Tawar 2, 81900 Ulu Sungai Johor, Kota Tinggi, Johor",07-8947188
1.749411,103.045797,KLINIK KESIHATAN SENGGARANG,"Lot 6700, Jalan Besar Senggarang, 83200 Minyak Beku, Batu Pahat, Johor",07-4291015
1.752130,104.073890,KLINIK KESIHATAN BUKIT WAHA,"PTD 206, Jalan Pembangunan, Bandar Penawar, 81900 Ulu Sungai Johor, Kota Tinggi, Johor",07-8925598
1.761350,111.507430,KLINIK KESIHATAN NANGA BUDU,"Kampung Nanga Budu, 95400 Kalaka, Saratok, Sarawak",083-589300
1.768280,103.706770,KLINIK KESIHATAN BUKIT BESAR,"PTD 568, Felda Bukit Besar, Jalan Depan Sekolah, 81900 Ulu Sungai Johor, Kota Tinggi, Johor",07-8977255
1.770720,112.638170,KLINIK KESIHATAN NANGA BANGKIT,"Kampung Nanga Bangkit, 96850 Song, Song, Sarawak",084-777333
1.792228,111.921208,KLINIK KESIHATAN NANGA ENTABAI,"Kampung Nanga Entabai, 96600 Julau, Julau, Sarawak",084-721005
1.808330,111.118640,KLINIK KESIHATAN KABONG,"Kabong, 94650 Betong, Saratok, Sarawak",083-411211
1.808979,109.776255,KLINIK KESIHATAN SEMATAN,"Jalan Sungai Kilang, Sematan, 94100 Lundu, Lundu, Sarawak",082-711340
1.818464,103.473491,KLINIK KESIHATAN LAYANG-LAYANG,"PTD 3578, Jalan Pejabat Pos, 81850 Layang-layang, 81850 Kluang, Kluang, Johor",07-7527233
1.822061,113.680009,KLINIK KESIHATAN NANGA ENTAWAU,"Kampung Entawau (D/A Peg. Kesihatan Bahagian Kapit, Wisma Persekutuan), 96800 Kapit, Kapit, Sarawak",084-796404
1.826130,103.305220,KLINIK KESIHATAN SIMPANG RENGGAM,"Lot 1794, Jln Rambutan, 86200 Simpang Renggam, Kluang, Johor",07-7554143
1.835520,111.615930,KLINIK KESIHATAN NANGA WAK,"Kampung Wak, 96150 Pakan, Pakan, Sarawak",083-434008
1.842088,111.413911,KLINIK KESIHATAN NANGA ATOI,"Kampung Nanga Atoi, 95400 Kalaka, Saratok, Sarawak",083-567400
1.848390,113.574770,KLINIK KESIHATAN NANGA MERIRAI,"Kampung Nanga Merirai (D/A Peg. Kesihatan Bahagian Kapit, Wisma Persekutuan), 96800 Kapit, Kapit, Sarawak",084-796404
1.849188,102.855339,KLINIK KESIHATAN BAGAN,"MLO 091, Pekan Parit Besar Bagan, 83000 Bagan, Batu Pahat, Johor",07-4138107
1.850100,102.942000,KLINIK KESIHATAN BATU PAHAT,"PTD 6625, Jalan Kluang, 83000 Simpang Kanan, Batu Pahat, Johor",07-4343355
1.854231,103.027944,KLINIK KESIHATAN SRI GADING,"Lot 5360, Sri Gading, Jalan Kluang, 83000 Simpang Kanan, Batu Pahat, Johor",07-4558216
1.856020,102.943010,KLINIK KESIHATAN PESTA,"PTD 13591, Kampung Kenang-Kenangan Dato' Onn, Jalan Perak, 83000 Simpang Kanan, Batu Pahat, Johor",07-4343355
1.859600,112.306010,KLINIK KESIHATAN NANGA JAGAU,"Kampung Nanga Jagau (D/A Peg. Kesihatan Daerah Kanowit), 96700 Kanowit, Kanowit, Sarawak",013-2865112
1.863300,103.622920,KLINIK KESIHATAN BANDAR TENGGARA,"PTB 496, Jln Tun Abd Majid, 81900 Panti, Kota Tinggi, Johor",07-8966178
1.863694,103.109590,KLINIK KESIHATAN PARIT RAJA,"MLO 261, Jalan Besar Air Hitam, 86400 Sri Gading, Batu Pahat, Johor",07-4541237
1.881280,111.309680,KLINIK KESIHATAN ROBAN,"Pekan Kechil Roban, 95300 Kalaka, Saratok, Sarawak",083-427244
1.881430,102.784930,KLINIK KESIHATAN SEMERAH,"Jalan Muar Semerah, 83000 Mukim 1 Lubok, Batu Pahat, Johor",07-4162685
1.883330,103.396390,KLINIK KESIHATAN RENGGAM,"PTD 2495, Jalan Simpang Renggam, 86300 Renggam, Kluang, Johor",07-7535255
1.883587,113.448278,KLINIK KESIHATAN NANGA GAAT,"Kampung Nanga Gaat (D/A Peg. Kesihatan Bahagian Kapit, Wisma Persekutuan), 96800 Kapit, Kapit, Sarawak",084-796404
1.886360,111.676500,KLINIK KESIHATAN PAKAN,"Pekan Pakan, 96150 Pakan, Pakan, Sarawak",084-719226
1.896308,102.760324,KLINIK KESIHATAN PARIT YUSOF,"Lot 24, Jalan Temenggung Ahmad, 84150 Parit Jawa, Muar, Johor",06-4161277
1.901057,112.573331,KLINIK KESIHATAN NANGA TEKALIT,"Nanga Tekalit, 96850 Kapit, Song, Sarawak",084-772001
1.903850,111.850420,KLINIK KESIHATAN SEKALONG,"Kampung Sekalong, 96600 Julau, Julau, Sarawak",084-738900
1.909484,102.952112,KLINIK KESIHATAN TONGKANG PECAH,"PTD 1921, Jalan Besar Tongkang Pecah, 97000 Linau, Batu Pahat, Johor",07-4152091
1.910030,102.687040,KLINIK KESIHATAN SRI MENANTI,"Sri Menanti, 71550 Sri Menanti, Kuala Pilah, Negeri Sembilan",06-4979581
1.910041,102.687046,KLINIK KESIHATAN SRI MENANTI,"Lot, 3692, Jalan Muar ke Batu Pahat, 84160 Sri Menanti, Muar, Johor",06-9881059
1.916160,111.737390,KLINIK KESIHATAN NANGA KARA,"Kampung Nanga Kara, 96150 Pakan, Pakan, Sarawak",084-775502
1.925390,104.108830,KLINIK KESIHATAN TANJONG SEDILI,"Felda Sening, 81900 Kambu, Kota Tinggi, Johor",07-8918370
1.925772,103.177460,KLINIK KESIHATAN AYER HITAM,"PTD 5728, Jln Besar ke Yong Peng, 83000 Sri Gading, Batu Pahat, Johor",07-7581966
1.926000,104.121230,KLINIK KESIHATAN SEDILI BESAR,"Lot 218, Jalan Hj Md Lazim, 81900 Kambu, Kota Tinggi, Johor",07-8899870
1.936950,111.181900,KLINIK KESIHATAN NYABOR,"Kampung Nyabor, Roban, 95300 Kalaka, Saratok, Sarawak",083-411068/ 083-3263
1.947280,103.475020,KLINIK KESIHATAN ULU BELITONG,"Jalan Cemara, 86007 Simpang Renggam, Kluang, Johor",07-7863333
1.957593,103.027664,KLINIK KESIHATAN PARIT YAANI,"Lot 9167, Pekan Parit Yaani, 83710 Mukim 7, Batu Pahat, Johor",07-4846521
1.960530,111.782730,KLINIK KESIHATAN LASSI,"Kampung Lassi, 96600 Julau, Julau, Sarawak",084-734253
1.961045,102.642264,KLINIK KESIHATAN PARIT JAWA,"Lot 241, Jalan Muar ke Batu Pahat, 83500 Sungai Balang, Muar, Johor",07-4164277
1.975441,112.929397,KLINIK KESIHATAN NANGA MELINAU,"Nanga Melinau, Sungai Mujong (D/A Peg. Kesihatan Bahagian Kapit, Wisma Persekutuan), 96800 Kapit, Kapit, Sarawak",084-796404
1.977011,102.881409,KLINIK KESIHATAN PARIT SULONG,"Lot 608, Pekan Parit Sulong, 83500 Simpang Kiri, Batu Pahat, Johor",07-4186204
1.981760,113.105700,KLINIK KESIHATAN NANGA BENA,"Jalan Sungai Bena, Rumah Panjang (D/A Peg. Kesihatan Bahagian Kapit, Wisma Persekutuan), 96800 Kapit, Kapit, Sarawak",084-796404
1.985030,112.403180,KLINIK KESIHATAN NGUNGUN,"Kampung Ngungun (D/A Peg. Kesihatan Daerah Kanowit), 96700 Kanowit, Kanowit, Sarawak",013-2865113
1.987800,102.961490,KLINIK KESIHATAN SRI MEDAN,"Lot 5660, Pekan Sri Medan, 83400 Mukim 18, Batu Pahat, Johor",07-4850272
1.999948,102.608467,KLINIK KESIHATAN PARIT BAKAR,"Lot 2355, Jalan Muar ke Pagoh, 84300 Jorak, Muar, Johor",06-9811324
2.006980,103.322250,KLINIK KESIHATAN MENGKIBOL,"Lot 18993, Jln Mengkibol, 86000 Kluang, Kluang, Johor",07-7765343
2.008428,112.549778,KLINIK KESIHATAN SONG,"Pekan Kecil Song, 96850 Song, Song, Sarawak",084-777333
2.008469,103.054958,KLINIK KESIHATAN YONG PENG,"Lot 8905, Jalan Besar Yong Peng, 87000 Semerong, Batu Pahat, Johor",07-4671361
2.011244,112.705028,KLINIK KESIHATAN NANGA IBAU,"Kampung Nanga Ibau, Sungai Batang Rajang (D/A Peg. Kesihatan Bahagian, Bahaigan Kapit, Wisma Persekutuan, Kapit), 96800 Kapit, Kapit, Sarawak",084-796454
2.011640,112.928960,KLINIK KESIHATAN KAPIT,"Jalan Bleteh, 96800 Kapit, Kapit, Sarawak",084-799661
2.014940,112.020130,KLINIK KESIHATAN MACHAN,"Pekan Machan (D/A Peg. Kesihatan Daerah Kanowit), 96700 Kanowit, Kanowit, Sarawak",084-738116
2.025960,111.912930,KLINIK KESIHATAN JULAU,"Pekan Julau, 96600 Julau, Julau, Sarawak",084-734253
2.027580,102.765190,KLINIK KESIHATAN AIR HITAM,"Bt. 27, 84540 Lenga, Muar, Johor",07-4212512
2.028390,113.171500,KLINIK KESIHATAN NANGA MUJONG,"Kampung Nanga Mujong, Sungai Mujong, 96800 Kapit, Kapit, Sarawak",084-796404
2.033117,112.261047,KLINIK KESIHATAN NANGA POI (MENALUN),"Kampung Nanga Poi (D/A Peg. Kesihatan Daerah Kanowit), 96700 Kanowit, Kanowit, Sarawak",013-2865114
2.040522,102.659560,KLINIK KESIHATAN BAKRI,"MLO 2599, Jalan Muar ke Pagoh, 84600 Jorak, Muar, Johor",06-9867007
2.050051,102.585121,KLINIK KESIHATAN KAMPUNG KENANGAN TUN DR. ISMAIL,"Batu 6, 84200 Bakri, Muar, Johor",06-9523563
2.050537,113.670679,KLINIK KESIHATAN TUNOH SCHEME,"Kampung Tunoh Scheme (D/A Peg. Kesihatan Bahagian Kapit, Wisma Persekutuan), 96800 Kapit, Kapit, Sarawak",084-796404
2.058110,102.576490,KLINIK KESIHATAN BANDAR MAHARANI,"Jalan Salleh, 84000 Muar, Muar, Johor",06-9811324
2.084470,113.237040,KLINIK KESIHATAN SEKEROH,"Sungai Sekeroh (D/A Peg. Kesihatan Bahagian Kapit, Wisma Persekutuan), 96800 Kapit, Kapit, Sarawak",086-429704
2.085010,103.494390,KLINIK KESIHATAN KAHANG TIMUR,"PTD 14726, Jalan Merak, 86007 Kahang, Kluang, Johor",07-7866633
2.099233,102.639881,KLINIK KESIHATAN BUKIT PASIR,"No.264-5 Jln Kenangan 1, Tmn Tun Dr Ismail, 84000 Muar, Muar, Johor",06-9856196
2.122310,111.519300,KLINIK KESIHATAN SARIKEI,"Sarikei, Jalan Hospital Lama, 96100 Sarikei, Sarikei, Sarawak",084-658652
